clip_name,split,face_emotion,face_confidence,face_vector,voice_emotion,voice_confidence,voice_vector,text_emotion,text_confidence,text_vector,mas_face_voice,mas_face_text,mas_voice_text,incongruent,conflicting_pairs,dominant_modality,meld_emotion,meld_sentiment,utterance,speaker,dialogue_id,utterance_id
dia264_utt4,train,anger,0.5266,"[0.5266, 0.0, 0.0054, 0.0259, 0.3163, 0.1231, 0.0028]",neutral,0.9915,"[0.0033, 0.0, 0.0, 0.0051, 0.9915, 0.0001, 0.0]",neutral,0.5052,"[0.0324, 0.3907, 0.0322, 0.0068, 0.5052, 0.009, 0.0238]",0.5074,0.4439,0.7886,False,[],voice,joy,positive,"Okay, are you aware unagi  is an eel?",Chandler,264,4
dia34_utt12,test,sadness,0.9639,"[0.0137, 0.0, 0.0177, 0.0003, 0.0001, 0.9639, 0.0043]",joy,0.9912,"[0.0002, 0.0, 0.0, 0.9912, 0.0068, 0.0018, 0.0]",surprise,0.4618,"[0.2549, 0.1895, 0.0255, 0.0178, 0.0187, 0.032, 0.4618]",0.0021,0.0677,0.0321,True,['face-voice'],voice,surprise,negative,"Oh my God!! Do it!! Honey, you’ve waited",Rachel,34,12
dia1029_utt11,train,joy,0.9523,"[0.0003, 0.0, 0.0, 0.9523, 0.0457, 0.0016, 0.0]",anger,0.9013,"[0.9013, 0.0, 0.0, 0.0116, 0.0192, 0.0679, 0.0]",neutral,0.7345,"[0.0545, 0.1151, 0.0184, 0.0073, 0.7345, 0.0166, 0.0537]",0.0143,0.0569,0.0953,True,"['face-voice', 'face-text', 'voice-text']",face,neutral,neutral,"And then you say to person, I bet you can’t roll this quarter from your forehead to your chin without it leaving your face.",Rachel,1029,11
dia19_utt1,train,fear,1.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.9987,"[0.0011, 0.0, 0.0, 0.0001, 0.9987, 0.0, 0.0]",neutral,0.0,"[0.1429, 0.1429, 0.1429, 0.1429, 0.1429, 0.1429, 0.1429]",0.0,0.378,0.3784,True,['face-voice'],face,neutral,neutral,Hey!,Phoebe,19,1
dia311_utt0,train,fear,0.663,"[0.0074, 0.0, 0.663, 0.0014, 0.0559, 0.2718, 0.0005]",sadness,0.5175,"[0.0188, 0.0, 0.0, 0.45, 0.0137, 0.5175, 0.0]",anger,0.3846,"[0.3846, 0.0698, 0.0126, 0.3461, 0.1115, 0.0228, 0.0525]",0.2883,0.0626,0.4784,False,[],face,neutral,neutral,Okay!,Phoebe,311,0
dia139_utt2,test,fear,0.4209,"[0.4075, 0.1435, 0.4209, 0.0052, 0.0012, 0.0215, 0.0001]",joy,0.8643,"[0.0942, 0.0, 0.0, 0.8643, 0.041, 0.0005, 0.0]",neutral,0.907,"[0.0061, 0.0183, 0.004, 0.0087, 0.907, 0.042, 0.0139]",0.0818,0.0161,0.0573,True,['voice-text'],text,neutral,neutral,Me too.,Jill,139,2
dia611_utt2,train,sadness,0.5701,"[0.2502, 0.0016, 0.0693, 0.0, 0.1083, 0.5701, 0.0004]",joy,0.5519,"[0.0003, 0.0, 0.0, 0.5519, 0.4464, 0.0015, 0.0]",neutral,0.7339,"[0.0162, 0.0096, 0.0023, 0.157, 0.7339, 0.0186, 0.0625]",0.1091,0.197,0.7745,False,[],text,neutral,neutral,Thanks.,Chandler,611,2
dia336_utt0,train,neutral,0.5431,"[0.3935, 0.0, 0.0077, 0.0039, 0.5431, 0.006, 0.0458]",joy,0.8732,"[0.0012, 0.0, 0.0, 0.8732, 0.0994, 0.0263, 0.0]",neutral,0.3953,"[0.1904, 0.1946, 0.0201, 0.0115, 0.3953, 0.0114, 0.1767]",0.0982,0.8654,0.1108,False,[],voice,surprise,positive,"....and 12, 22, 18, four...  What?",Ross,336,0
dia173_utt2,test,neutral,0.6344,"[0.0575, 0.0001, 0.0008, 0.1819, 0.6344, 0.125, 0.0003]",neutral,0.9727,"[0.0006, 0.0, 0.0, 0.0267, 0.9727, 0.0, 0.0]",neutral,0.0,"[0.1429, 0.1429, 0.1429, 0.1429, 0.1429, 0.1429, 0.1429]",0.9481,0.5606,0.3884,False,[],voice,neutral,neutral,"No, she doesn’t.",Monica,173,2
dia97_utt13,dev,disgust,0.803,"[0.0946, 0.803, 0.0257, 0.0, 0.0084, 0.0566, 0.0116]",joy,0.3125,"[0.2863, 0.0, 0.0, 0.3125, 0.1069, 0.2943, 0.0]",fear,0.4876,"[0.0133, 0.1353, 0.4876, 0.0035, 0.2455, 0.0189, 0.0959]",0.1044,0.2736,0.122,False,[],face,neutral,neutral,"No, no, that’s the ghost for the attic.",Phoebe,97,13
dia963_utt8,train,neutral,0.6888,"[0.0, 0.0, 0.0785, 0.2221, 0.6888, 0.0002, 0.0104]",joy,0.6523,"[0.3311, 0.0, 0.0, 0.6523, 0.0072, 0.0095, 0.0]",neutral,0.7623,"[0.012, 0.0119, 0.0133, 0.0252, 0.7623, 0.0182, 0.1572]",0.2813,0.9401,0.0457,True,"['face-voice', 'voice-text']",text,anger,negative,"Hey, it’s been like three weeks!",Ross,963,8
dia945_utt11,train,anger,0.9994,"[0.9994, 0.0, 0.0002, 0.0, 0.0, 0.0004, 0.0]",anger,0.4856,"[0.4856, 0.0, 0.0, 0.1899, 0.2696, 0.055, 0.0]",neutral,0.5401,"[0.0105, 0.014, 0.001, 0.4187, 0.5401, 0.0094, 0.0063]",0.8237,0.0153,0.5724,False,[],face,joy,positive,And you can go back to enjoying your little hamburger.,Rachel,945,11
dia246_utt11,test,anger,0.7811,"[0.7811, 0.0, 0.1169, 0.0, 0.0031, 0.0989, 0.0]",sadness,0.541,"[0.0441, 0.0, 0.0, 0.0374, 0.3775, 0.541, 0.0]",neutral,0.358,"[0.1072, 0.2818, 0.0107, 0.0809, 0.358, 0.0227, 0.1387]",0.1691,0.224,0.473,False,[],face,neutral,neutral,"Anyway, look, I don’t know about you and your jackets and your separate tables, but Ross is one of my best friends, and if I save him a seat, I’m telling you, he",Joey,246,11
dia702_utt2,train,joy,0.9522,"[0.0, 0.0, 0.0, 0.9522, 0.0356, 0.0121, 0.0]",anger,0.4557,"[0.4557, 0.0, 0.0, 0.1746, 0.3691, 0.0006, 0.0]",neutral,0.6325,"[0.03, 0.0088, 0.0087, 0.1079, 0.6325, 0.0219, 0.1901]",0.3076,0.1965,0.6485,True,['face-text'],face,neutral,neutral,How much did ever really win before?,Monica,702,2
dia780_utt5,train,sadness,0.6463,"[0.0519, 0.0048, 0.1476, 0.0076, 0.1411, 0.6463, 0.0006]",neutral,0.9383,"[0.0262, 0.0, 0.0, 0.0355, 0.9383, 0.0, 0.0]",surprise,0.9222,"[0.0336, 0.0138, 0.0097, 0.0025, 0.0139, 0.0043, 0.9222]",0.2099,0.0137,0.0162,True,"['face-voice', 'face-text', 'voice-text']",voice,surprise,negative,What?,Phoebe,780,5
dia420_utt1,train,sadness,0.4278,"[0.2255, 0.0049, 0.339, 0.0001, 0.0023, 0.4278, 0.0003]",joy,0.9938,"[0.0028, 0.0, 0.0, 0.9938, 0.0033, 0.0001, 0.0]",joy,0.9287,"[0.0025, 0.0046, 0.0009, 0.9287, 0.0539, 0.0023, 0.0071]",0.0013,0.0038,0.9985,False,[],voice,joy,positive,"Pheebs, that’s great!",Rachel,420,1
dia855_utt5,train,neutral,0.545,"[0.1076, 0.0, 0.0043, 0.0, 0.545, 0.3431, 0.0]",neutral,0.6854,"[0.0783, 0.0, 0.0, 0.204, 0.6854, 0.0323, 0.0]",disgust,0.4565,"[0.3278, 0.4565, 0.0104, 0.0051, 0.129, 0.035, 0.0362]",0.8359,0.3112,0.2789,False,[],voice,sadness,negative,"Oh don’t listen to him, he’s just some guy who really wants the apartment, but I don’t think he’s gonna get it.",Joey,855,5
dia206_utt4,test,sadness,0.5816,"[0.1317, 0.0058, 0.2451, 0.0001, 0.0312, 0.5816, 0.0045]",joy,0.7091,"[0.0418, 0.0, 0.0, 0.7091, 0.2477, 0.0014, 0.0]",surprise,0.6201,"[0.0615, 0.0471, 0.0099, 0.0015, 0.2483, 0.0116, 0.6201]",0.0291,0.0647,0.1288,True,['voice-text'],voice,anger,negative,"Y'know, how did I get this reputation as a dropper? Okay? I'm",Chandler,206,4
dia208_utt7,test,neutral,0.7839,"[0.0, 0.0, 0.0011, 0.1951, 0.7839, 0.0199, 0.0]",sadness,0.5167,"[0.0171, 0.0, 0.0, 0.4581, 0.0081, 0.5167, 0.0]",sadness,0.9336,"[0.0044, 0.0087, 0.0141, 0.0032, 0.0323, 0.9336, 0.0036]",0.1899,0.059,0.7502,True,['face-text'],text,sadness,negative,I’ve just been thinking about how my baby and I are gonna be all alone.,Rachel,208,7
dia844_utt15,train,neutral,0.6021,"[0.0079, 0.0, 0.0095, 0.0, 0.6021, 0.3804, 0.0]",joy,0.7187,"[0.1846, 0.0, 0.0, 0.7187, 0.0876, 0.0091, 0.0]",joy,0.6253,"[0.0427, 0.0445, 0.0025, 0.6253, 0.2757, 0.0058, 0.0035]",0.1084,0.345,0.939,True,"['face-voice', 'face-text']",voice,joy,positive,"Okay, good-good for you.",Ross,844,15
dia960_utt9,train,sadness,0.7039,"[0.1544, 0.0155, 0.0432, 0.033, 0.0481, 0.7039, 0.0019]",anger,0.9872,"[0.9872, 0.0, 0.0, 0.0044, 0.0078, 0.0005, 0.0]",neutral,0.7267,"[0.1045, 0.0778, 0.0142, 0.0597, 0.7267, 0.0089, 0.0083]",0.2144,0.1139,0.1491,True,"['face-voice', 'face-text', 'voice-text']",voice,anger,negative,"Hand me those tomatoes, I’m gonna show you what it should taste like! Come on, hand me them.",Monica,960,9
dia895_utt6,train,sadness,0.6024,"[0.1475, 0.0001, 0.1593, 0.002, 0.0883, 0.6024, 0.0004]",neutral,0.372,"[0.3375, 0.0, 0.0, 0.2832, 0.372, 0.0073, 0.0]",anger,0.445,"[0.445, 0.0785, 0.0503, 0.0041, 0.0854, 0.0113, 0.3254]",0.2349,0.241,0.5616,False,[],face,neutral,neutral,"Because by the time I find it on this thing , the whole place might have exploded.",Mr. Treeger,895,6
dia103_utt2,train,sadness,0.9971,"[0.0, 0.0, 0.0029, 0.0, 0.0, 0.9971, 0.0]",joy,0.9581,"[0.0004, 0.0, 0.0, 0.9581, 0.0391, 0.0024, 0.0]",surprise,0.8808,"[0.0387, 0.0203, 0.0044, 0.0064, 0.0439, 0.0055, 0.8808]",0.0025,0.0062,0.0093,True,"['face-voice', 'face-text', 'voice-text']",face,surprise,positive,Really?,Kristen,103,2
dia213_utt3,test,joy,0.9957,"[0.0, 0.0, 0.0, 0.9957, 0.0043, 0.0, 0.0]",sadness,0.4836,"[0.4667, 0.0, 0.0, 0.0319, 0.0178, 0.4836, 0.0]",neutral,0.7466,"[0.0126, 0.068, 0.0038, 0.13, 0.7466, 0.02, 0.019]",0.0475,0.1749,0.0643,True,['face-text'],face,neutral,neutral,"So big deal, so Joey’s had a lot of girlfriends, it doesn’t mean he’s great in bed.",Monica,213,3
dia42_utt7,test,joy,1.0,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",sadness,0.5042,"[0.0199, 0.0, 0.0, 0.4659, 0.0101, 0.5042, 0.0]",disgust,0.4018,"[0.3866, 0.4018, 0.0086, 0.0048, 0.166, 0.0297, 0.0024]",0.6783,0.0082,0.0664,False,[],face,surprise,positive,"Okay, so you were trying to play bad this whole time.",Monica,42,7
dia730_utt9,train,sadness,0.6454,"[0.0681, 0.0, 0.0056, 0.0089, 0.2717, 0.6454, 0.0003]",neutral,0.5966,"[0.1284, 0.0, 0.0, 0.0952, 0.5966, 0.1797, 0.0]",neutral,0.4593,"[0.0401, 0.3243, 0.0075, 0.0074, 0.4593, 0.0156, 0.146]",0.6356,0.336,0.7543,False,[],face,surprise,positive,"Geez, sounds like you should be going on this date!",Joey,730,9
dia8_utt13,dev,sadness,0.6763,"[0.1405, 0.0, 0.0196, 0.001, 0.1625, 0.6763, 0.0]",neutral,0.6693,"[0.0053, 0.0, 0.0, 0.1778, 0.6693, 0.1476, 0.0]",disgust,0.7309,"[0.0273, 0.7309, 0.0235, 0.0079, 0.195, 0.0124, 0.0029]",0.4168,0.0826,0.2496,True,"['face-voice', 'face-text', 'voice-text']",text,neutral,neutral,So we go into this barn and undress each other and hold each other.,Joey,8,13
dia645_utt16,train,sadness,0.6273,"[0.0571, 0.0, 0.0145, 0.0029, 0.297, 0.6273, 0.0013]",joy,0.947,"[0.0293, 0.0, 0.0, 0.947, 0.0229, 0.0008, 0.0]",neutral,0.8822,"[0.006, 0.0128, 0.0025, 0.0124, 0.8822, 0.01, 0.074]",0.0177,0.4358,0.0382,True,"['face-voice', 'face-text', 'voice-text']",voice,neutral,neutral,Not if you were here.,Phoebe,645,16
dia903_utt1,train,anger,0.885,"[0.885, 0.0, 0.0013, 0.0, 0.001, 0.1127, 0.0]",sadness,0.623,"[0.0027, 0.0, 0.0, 0.3281, 0.0462, 0.623, 0.0]",neutral,0.4408,"[0.02, 0.0285, 0.0363, 0.1491, 0.4408, 0.0052, 0.3202]",0.1154,0.0371,0.1813,True,['face-voice'],face,joy,positive,Well it’s just while Monica and I were dancing to them it was…the first time I knew that…you were the woman I wanted to dance all my dances with.,Chandler,903,1
dia27_utt1,test,anger,0.5715,"[0.5715, 0.0013, 0.0335, 0.0011, 0.0001, 0.0038, 0.3887]",anger,0.6793,"[0.6793, 0.0, 0.0, 0.0353, 0.2854, 0.0, 0.0]",sadness,0.3753,"[0.1495, 0.3635, 0.0092, 0.0033, 0.0939, 0.3753, 0.0052]",0.7607,0.2349,0.3157,False,[],voice,neutral,neutral,Hi.,Phoebe,27,1
dia573_utt8,train,anger,0.9231,"[0.9231, 0.0015, 0.0243, 0.0011, 0.0047, 0.0452, 0.0]",joy,0.9724,"[0.0027, 0.0, 0.0, 0.9724, 0.0057, 0.0192, 0.0]",anger,0.5791,"[0.5791, 0.1367, 0.0104, 0.0108, 0.0711, 0.0058, 0.1862]",0.005,0.9229,0.0206,True,['face-voice'],voice,anger,negative,It’s not something you are! It’s something you have!,Ross,573,8
dia146_utt2,train,sadness,0.9346,"[0.0088, 0.0, 0.0281, 0.0, 0.0286, 0.9346, 0.0]",anger,0.4696,"[0.4696, 0.0, 0.0, 0.3981, 0.0712, 0.0611, 0.0]",anger,0.6685,"[0.6685, 0.0948, 0.0444, 0.0065, 0.0875, 0.0211, 0.0773]",0.1087,0.0456,0.7575,True,['face-text'],face,neutral,neutral,Phoebe why don’t you just call her? You obviously want to.,Monica,146,2
dia275_utt10,train,sadness,0.8144,"[0.002, 0.0, 0.1824, 0.0011, 0.0001, 0.8144, 0.0]",joy,0.8915,"[0.0026, 0.0, 0.0, 0.8915, 0.1048, 0.0012, 0.0]",fear,0.6613,"[0.055, 0.1167, 0.6613, 0.0053, 0.0535, 0.1033, 0.0049]",0.0027,0.3589,0.0173,True,"['face-voice', 'face-text', 'voice-text']",voice,fear,negative,"Oh no, no-no-no-no! I don't want to know!",Joey,275,10
dia1013_utt3,train,neutral,0.7122,"[0.0548, 0.0001, 0.0278, 0.002, 0.7122, 0.2025, 0.0007]",anger,0.9253,"[0.9253, 0.0, 0.0, 0.0474, 0.0088, 0.0186, 0.0]",anger,0.7401,"[0.7401, 0.0353, 0.1562, 0.0062, 0.022, 0.0251, 0.0151]",0.0883,0.1165,0.976,True,"['face-voice', 'face-text']",voice,anger,negative,No! You don’t know the system! There’ll be nobody messing with the system!,Monica,1013,3
dia658_utt19,train,anger,0.5297,"[0.5297, 0.0002, 0.1359, 0.0, 0.1211, 0.21, 0.0031]",anger,0.6874,"[0.6874, 0.0, 0.0, 0.2433, 0.0604, 0.0089, 0.0]",neutral,0.5459,"[0.1722, 0.2594, 0.0047, 0.0037, 0.5459, 0.0108, 0.0033]",0.8529,0.4263,0.3312,False,[],voice,neutral,neutral,"Okay, they're just talking...",Phoebe,658,19
dia90_utt5,test,fear,0.4137,"[0.2069, 0.0, 0.4137, 0.0, 0.0117, 0.365, 0.0026]",joy,0.9635,"[0.0012, 0.0, 0.0, 0.9635, 0.0298, 0.0056, 0.0]",neutral,0.4319,"[0.1072, 0.3159, 0.0134, 0.0566, 0.4319, 0.053, 0.0219]",0.0046,0.1604,0.1275,False,[],voice,sadness,negative,Try telling my wife that.,Ross,90,5
dia400_utt5,train,sadness,0.8606,"[0.0141, 0.0, 0.0001, 0.1232, 0.0018, 0.8606, 0.0]",joy,0.9675,"[0.0001, 0.0, 0.0, 0.9675, 0.0316, 0.0008, 0.0]",disgust,0.9309,"[0.0138, 0.9309, 0.0077, 0.0007, 0.0094, 0.0338, 0.0037]",0.1425,0.0363,0.0011,True,"['face-voice', 'face-text', 'voice-text']",voice,joy,positive,"Oh, God...",Rachel,400,5
dia86_utt7,train,neutral,0.7156,"[0.0232, 0.0, 0.0085, 0.005, 0.7156, 0.0144, 0.2333]",joy,0.713,"[0.19, 0.0, 0.0, 0.713, 0.0871, 0.0099, 0.0]",neutral,0.7133,"[0.0577, 0.1497, 0.0168, 0.0051, 0.7133, 0.0158, 0.0416]",0.1259,0.9456,0.1413,True,"['face-voice', 'voice-text']",face,neutral,neutral,We get high.,Kim,86,7
dia300_utt0,train,fear,0.7474,"[0.0192, 0.0, 0.7474, 0.06, 0.1584, 0.0003, 0.0146]",sadness,0.7875,"[0.003, 0.0, 0.0, 0.1845, 0.0249, 0.7875, 0.0]",joy,0.656,"[0.0205, 0.0126, 0.0035, 0.656, 0.2377, 0.0311, 0.0386]",0.0247,0.1502,0.2675,True,"['face-voice', 'face-text', 'voice-text']",voice,joy,positive,"Shoot! Shoot! Shoot! Shoot, or just fall down. That's good too.",Joey,300,0
dia913_utt9,train,sadness,0.5284,"[0.2646, 0.0012, 0.0387, 0.0007, 0.1655, 0.5284, 0.001]",anger,0.984,"[0.984, 0.0, 0.0, 0.0024, 0.0124, 0.0012, 0.0]",neutral,0.7617,"[0.0098, 0.0056, 0.0208, 0.0126, 0.7617, 0.0038, 0.1857]",0.4347,0.2729,0.0248,True,['voice-text'],voice,neutral,neutral,I'm intrigued.,Chandler,913,9
dia85_utt9,dev,sadness,0.8742,"[0.0027, 0.0, 0.0, 0.1165, 0.0065, 0.8742, 0.0]",anger,0.8525,"[0.8525, 0.0, 0.0, 0.0047, 0.0004, 0.1423, 0.0]",neutral,0.9646,"[0.0068, 0.0082, 0.001, 0.004, 0.9646, 0.0033, 0.0121]",0.167,0.0113,0.008,True,"['face-voice', 'face-text', 'voice-text']",text,joy,positive,You used the Europe story!,Monica,85,9
dia445_utt4,train,sadness,0.7119,"[0.0327, 0.0, 0.251, 0.0, 0.0044, 0.7119, 0.0]",neutral,0.6635,"[0.0255, 0.0, 0.0, 0.1625, 0.6635, 0.1485, 0.0]",neutral,0.446,"[0.0117, 0.0095, 0.0038, 0.3924, 0.446, 0.0304, 0.1063]",0.2072,0.0545,0.8621,True,['face-voice'],face,neutral,neutral,I just called a friend of mine.,Dr. Green,445,4
dia740_utt5,train,neutral,0.4166,"[0.181, 0.0, 0.0054, 0.0, 0.4166, 0.397, 0.0]",joy,0.8516,"[0.0002, 0.0, 0.0, 0.8516, 0.1194, 0.0288, 0.0]",anger,0.765,"[0.765, 0.13, 0.0056, 0.0035, 0.0513, 0.0344, 0.0102]",0.1179,0.3695,0.0154,True,['voice-text'],voice,sadness,negative,"Well, can you blame her?",Ross,740,5
dia17_utt24,test,joy,0.9371,"[0.0592, 0.0, 0.0008, 0.9371, 0.0007, 0.0021, 0.0001]",joy,0.8408,"[0.0113, 0.0, 0.0, 0.8408, 0.095, 0.0529, 0.0]",sadness,0.68,"[0.0599, 0.1295, 0.012, 0.0029, 0.098, 0.68, 0.0178]",0.9907,0.0118,0.0813,True,"['face-text', 'voice-text']",face,anger,negative,"Look, honey, I have tried to make nice, it doesn’t work.",Ross,17,24
dia59_utt9,train,fear,0.42,"[0.1692, 0.0109, 0.42, 0.0072, 0.0037, 0.3462, 0.0426]",joy,0.5142,"[0.3301, 0.0, 0.0, 0.5142, 0.1555, 0.0002, 0.0]",joy,0.6376,"[0.0086, 0.0061, 0.0019, 0.6376, 0.2979, 0.0074, 0.0405]",0.167,0.0306,0.8481,False,[],text,joy,positive,Bing!,Doug,59,9
dia214_utt1,train,sadness,0.9211,"[0.0026, 0.0, 0.076, 0.0, 0.0004, 0.9211, 0.0]",sadness,0.7965,"[0.0812, 0.0, 0.0, 0.1015, 0.0208, 0.7965, 0.0]",surprise,0.8998,"[0.0451, 0.0154, 0.0043, 0.0095, 0.0202, 0.0057, 0.8998]",0.9836,0.0069,0.0132,True,"['face-text', 'voice-text']",face,neutral,neutral,David who?,Monica,214,1
dia295_utt21,train,neutral,0.8332,"[0.0001, 0.0, 0.0122, 0.0677, 0.8332, 0.0015, 0.0852]",joy,0.943,"[0.0209, 0.0, 0.0, 0.943, 0.0052, 0.0309, 0.0]",surprise,0.7325,"[0.1303, 0.0669, 0.0068, 0.0137, 0.0411, 0.0087, 0.7325]",0.086,0.1553,0.0228,True,"['face-voice', 'face-text', 'voice-text']",voice,anger,negative,"What are you still doin’ here?! I told you, lobster ravioli!",Joey,295,21
dia574_utt4,train,surprise,0.5232,"[0.0115, 0.0013, 0.3677, 0.0765, 0.0163, 0.0035, 0.5232]",neutral,0.9409,"[0.0, 0.0, 0.0, 0.059, 0.9409, 0.0002, 0.0]",disgust,0.2914,"[0.0507, 0.2914, 0.2646, 0.0214, 0.268, 0.0804, 0.0235]",0.0327,0.3725,0.5524,False,[],voice,surprise,negative,Oohh!! Ohh! Oh-oh-oh! Oh-oh!!,Joey,574,4
dia23_utt8,train,anger,0.5449,"[0.5449, 0.0006, 0.2289, 0.0012, 0.0074, 0.1073, 0.1097]",joy,0.84,"[0.0518, 0.0, 0.0, 0.84, 0.0976, 0.0106, 0.0]",anger,0.2882,"[0.2882, 0.2525, 0.0312, 0.1621, 0.1327, 0.0321, 0.1012]",0.0601,0.6546,0.4307,False,[],voice,surprise,negative,"You see you can’t tell which one is which either, dwha!!",Chandler,23,8
dia956_utt7,train,sadness,0.701,"[0.0078, 0.0, 0.0396, 0.0, 0.2515, 0.701, 0.0]",neutral,0.8544,"[0.0152, 0.0, 0.0, 0.1302, 0.8544, 0.0002, 0.0]",surprise,0.3629,"[0.142, 0.134, 0.0739, 0.0064, 0.2358, 0.0449, 0.3629]",0.3337,0.2635,0.4901,True,['face-voice'],voice,neutral,neutral,Are you close with them?,Danny,956,7
dia996_utt2,train,sadness,0.292,"[0.1175, 0.0006, 0.1539, 0.0327, 0.1131, 0.292, 0.2902]",joy,0.9068,"[0.035, 0.0, 0.0, 0.9068, 0.053, 0.0053, 0.0]",neutral,0.9465,"[0.0077, 0.0166, 0.002, 0.0095, 0.9465, 0.0081, 0.0097]",0.0967,0.2557,0.0686,True,['voice-text'],text,joy,positive,Postpone it?,Ross,996,2
dia797_utt4,train,sadness,0.9707,"[0.0, 0.0, 0.0002, 0.0, 0.0291, 0.9707, 0.0]",anger,0.7524,"[0.7524, 0.0, 0.0, 0.0762, 0.0375, 0.1339, 0.0]",neutral,0.9194,"[0.01, 0.0055, 0.0031, 0.0067, 0.9194, 0.0055, 0.0498]",0.1755,0.0359,0.0611,True,"['face-voice', 'face-text', 'voice-text']",face,neutral,neutral,Because... I'm Monica Geller. It was my credit card you were using.,Monica,797,4
dia973_utt4,train,sadness,0.9901,"[0.0, 0.0, 0.0039, 0.0027, 0.0033, 0.9901, 0.0]",neutral,0.7678,"[0.0219, 0.0, 0.0, 0.1994, 0.7678, 0.0109, 0.0]",disgust,0.8204,"[0.0115, 0.8204, 0.0068, 0.0208, 0.0959, 0.0235, 0.0212]",0.0177,0.0289,0.1193,True,"['face-voice', 'face-text', 'voice-text']",face,joy,positive,"Richard's living room, drinking wine.",Monica,973,4
dia148_utt7,train,sadness,0.9976,"[0.0003, 0.0, 0.0007, 0.0, 0.0013, 0.9976, 0.0]",anger,0.6839,"[0.6839, 0.0, 0.0, 0.2146, 0.1015, 0.0, 0.0]",anger,0.424,"[0.424, 0.1414, 0.0303, 0.0116, 0.3651, 0.0244, 0.0033]",0.0005,0.0433,0.7868,True,['face-voice'],face,neutral,neutral,"Ok, ok, How about if we split it?",Joey,148,7
dia282_utt0,train,sadness,0.9872,"[0.0, 0.0, 0.0019, 0.0, 0.0109, 0.9872, 0.0]",sadness,0.6737,"[0.0014, 0.0, 0.0, 0.2462, 0.0787, 0.6737, 0.0]",neutral,0.8196,"[0.0124, 0.0687, 0.0164, 0.0189, 0.8196, 0.0111, 0.0527]",0.9348,0.0245,0.1288,True,"['face-text', 'voice-text']",face,joy,positive,I think so too. And that little flap? Great for holding my lipstick.,Phoebe,282,0
dia401_utt7,train,anger,0.4424,"[0.4424, 0.0363, 0.0244, 0.0718, 0.0189, 0.401, 0.0052]",joy,0.8619,"[0.1256, 0.0, 0.0, 0.8619, 0.0022, 0.0103, 0.0]",surprise,0.8814,"[0.0051, 0.0013, 0.0019, 0.0777, 0.0234, 0.0092, 0.8814]",0.2314,0.0311,0.0879,True,['voice-text'],text,joy,positive,"Hi Phoebe Abott, I’m your best friends daughter!",Phoebe,401,7
dia536_utt5,train,fear,0.4459,"[0.0072, 0.0019, 0.4459, 0.0113, 0.4298, 0.0051, 0.0988]",neutral,1.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",neutral,0.0,"[0.1429, 0.1429, 0.1429, 0.1429, 0.1429, 0.1429, 0.1429]",0.6851,0.6025,0.378,False,[],voice,surprise,negative,They had to have that specially made?!,Rachel,536,5
dia627_utt0,train,sadness,0.9112,"[0.0034, 0.0, 0.0849, 0.0, 0.0005, 0.9112, 0.0]",anger,0.4643,"[0.4643, 0.0, 0.0, 0.1391, 0.332, 0.0646, 0.0]",neutral,0.6441,"[0.0301, 0.0383, 0.014, 0.008, 0.6441, 0.0079, 0.2577]",0.112,0.0139,0.558,True,['face-text'],face,neutral,neutral,Remember how you said you were really dense about poetry? Oh.,Phoebe,627,0
dia20_utt9,train,sadness,0.7122,"[0.1567, 0.0002, 0.0305, 0.0004, 0.0999, 0.7122, 0.0001]",joy,0.9548,"[0.006, 0.0, 0.0, 0.9548, 0.0234, 0.0158, 0.0]",fear,0.5951,"[0.0089, 0.2545, 0.5951, 0.0078, 0.0837, 0.0303, 0.0197]",0.0212,0.1029,0.0159,True,['face-voice'],voice,neutral,neutral,"That was so awkward, we were really nervous.",Joey,20,9
dia10_utt2,dev,anger,0.6572,"[0.6572, 0.0096, 0.2975, 0.0022, 0.0097, 0.013, 0.0109]",neutral,0.7211,"[0.0621, 0.0, 0.0, 0.1288, 0.7211, 0.088, 0.0]",surprise,0.886,"[0.0422, 0.0079, 0.0052, 0.0134, 0.0393, 0.006, 0.886]",0.0921,0.0616,0.0505,True,"['face-voice', 'face-text', 'voice-text']",text,fear,negative,"Sur-surprise him? We're not, we're not gonna make anybody mad are we?",Chandler,10,2
dia950_utt2,train,anger,0.7608,"[0.7608, 0.0099, 0.0718, 0.0011, 0.0118, 0.1133, 0.0312]",anger,0.9115,"[0.9115, 0.0, 0.0, 0.0733, 0.0005, 0.0147, 0.0]",neutral,0.3751,"[0.0131, 0.0169, 0.0124, 0.3116, 0.3751, 0.0492, 0.2217]",0.983,0.0679,0.0725,False,[],voice,anger,negative,This year was supposed to be great!,Ross,950,2
dia840_utt5,train,sadness,0.9956,"[0.0017, 0.0, 0.0015, 0.0, 0.0012, 0.9956, 0.0]",joy,0.3299,"[0.0499, 0.0, 0.0, 0.3299, 0.292, 0.3281, 0.0]",neutral,0.6635,"[0.012, 0.1003, 0.017, 0.0411, 0.6635, 0.1564, 0.0097]",0.5956,0.2276,0.6805,True,['face-text'],face,neutral,neutral,"Well, sure...just a sec, though, 'cause Paolo's on his way over.",Rachel,840,5
